                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0498,                 3.1515,                 2.3969,                0.00273,                0.81818,                0.08933,                0.03293,                 2.4067,                 4.3759,                 3.5764,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.9441,                 3.1161,                 2.3462,                0.00333,                      1,                0.15264,                0.04161,                 2.5204,                 4.3535,                  3.681,               0.093354,              0.0003535,              0.0003535
